Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.9847755013077594,0.7598636142230881,0.6331168831168831,0.6907239318131503,0.9482408626526224
Random Forest (300 trees),0.984862685265911,0.7610490529383196,0.6359577922077922,0.6929029405261994,0.9511726408208684
Extra Trees,0.9841216216216216,0.7314942528735632,0.645698051948052,0.6859236904505281,0.9457383509419715
Decision Tree,0.9710113339145597,0.46875,0.5965909090909091,0.525,0.7901397145412485
Gradient Boosting,0.9545989537925021,0.3418803418803419,0.7467532467532467,0.4690288044863624,0.9470446959055772
XGBoost,0.9164995640802093,0.22711045779084418,0.8778409090909091,0.3608608608608609,0.9578545665175734
LightGBM,0.9802201394943331,0.6290258449304175,0.6420454545454546,0.635468969672625,0.9574524719297791
CatBoost,0.8807977332170881,0.17221104750116045,0.9034090909090909,0.28927875243664714,0.9582373383313515
Logistic Regression,0.865104620749782,0.14753981797497157,0.8421266233766234,0.2510890609874153,0.9254372009980815
Ridge Classifier,0.8176874455100261,0.11305810231649759,0.8457792207792207,0.1994544671483945,0.9052213525910907
SGD Classifier,0.866564952048823,0.1492109038737446,0.8441558441558441,0.25359668373567423,0.9227501287306248
KNN (k=5),0.9370095902353966,0.2613014684710625,0.7366071428571429,0.3857598299681191,0.8726287027189014
KNN (k=10),0.9257192676547515,0.23155687145324452,0.7617694805194806,0.35515610217596977,0.892873000121295
Gaussian NB,0.48726024411508284,0.04722250431603534,0.9435876623376623,0.08994371264434516,0.8803423004760759
Bernoulli NB,0.7786835222319093,0.08854454897620365,0.7792207792207793,0.15901938048699682,0.8800295342340199
Neural Network,0.9571381865736704,0.35365610679418213,0.7203733766233766,0.4744086596284912,0.9298671543038243
AdaBoost,0.930797733217088,0.247465557577333,0.7727272727272727,0.3748769442803701,0.9376064172861832
Bagging,0.9842197035745422,0.7257777777777777,0.6627435064935064,0.6928298684768773,0.9555636827001166
Voting (Hard),0.9634808195292066,0.4044386985563456,0.7617694805194806,0.5283603096410978,
Voting (Soft),0.9676111595466435,0.439696106362773,0.7516233766233766,0.5548232474535649,0.949568089301567
Stacking,0.9846774193548387,0.7798941798941799,0.5982142857142857,0.6770785484611851,0.8555801326232673
